frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Central Walkway,roi_Security Area
1,0,File: Airport_Queue_CCTV_Video_Generation.mp4,13,4,False,7,6,0
2,1,File: Eagle_Eye_View_Video_Generated.mp4,5,0,False,2,3,0
3,2,File: 2025-11-27 18-27-45.mp4,35,91,True,9,14,0
4,3,File: 2025-11-27 18-27-23.mp4,7,2,False,3,4,0
5,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",2,0,False,1,1,0
6,0,File: Airport_Queue_CCTV_Video_Generation.mp4,5,0,False,2,3,0
7,1,File: Eagle_Eye_View_Video_Generated.mp4,2,0,False,0,2,0
8,2,File: 2025-11-27 18-27-45.mp4,33,94,True,7,15,0
9,3,File: 2025-11-27 18-27-23.mp4,6,0,False,3,3,0
10,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",34,33,True,17,17,0
11,0,File: Airport_Queue_CCTV_Video_Generation.mp4,3,0,False,1,2,0
12,1,File: Eagle_Eye_View_Video_Generated.mp4,1,0,False,1,0,0
13,2,File: 2025-11-27 18-27-45.mp4,1,0,False,1,0,0
14,3,File: 2025-11-27 18-27-23.mp4,7,1,False,4,3,0
15,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",31,18,True,16,15,0
16,0,File: Airport_Queue_CCTV_Video_Generation.mp4,2,0,False,2,0,0
17,1,File: Eagle_Eye_View_Video_Generated.mp4,2,0,False,0,2,0
18,2,File: 2025-11-27 18-27-45.mp4,36,78,True,11,13,0
19,3,File: 2025-11-27 18-27-23.mp4,8,1,False,4,4,0
20,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",32,20,True,14,18,0
21,0,File: Airport_Queue_CCTV_Video_Generation.mp4,3,0,False,2,1,0
22,1,File: Eagle_Eye_View_Video_Generated.mp4,1,0,False,0,1,0
23,2,File: 2025-11-27 18-27-45.mp4,36,82,True,10,14,0
24,3,File: 2025-11-27 18-27-23.mp4,9,1,False,5,4,0
25,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",43,45,True,21,22,0
26,0,File: Airport_Queue_CCTV_Video_Generation.mp4,3,0,False,2,1,0
27,1,File: Eagle_Eye_View_Video_Generated.mp4,2,0,False,0,2,0
28,2,File: 2025-11-27 18-27-45.mp4,40,122,True,10,15,0
29,3,File: 2025-11-27 18-27-23.mp4,7,1,False,3,4,0
30,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",1,0,False,0,1,0
31,0,File: Airport_Queue_CCTV_Video_Generation.mp4,2,0,False,1,1,0
32,1,File: Eagle_Eye_View_Video_Generated.mp4,1,0,False,0,1,0
33,2,File: 2025-11-27 18-27-45.mp4,38,113,True,9,13,0
34,3,File: 2025-11-27 18-27-23.mp4,10,2,False,4,6,0
35,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",36,30,True,13,22,1
36,0,File: Airport_Queue_CCTV_Video_Generation.mp4,1,0,False,0,1,0
37,1,File: Eagle_Eye_View_Video_Generated.mp4,29,24,True,15,14,0
38,2,File: 2025-11-27 18-27-45.mp4,35,85,True,9,12,0
39,3,File: 2025-11-27 18-27-23.mp4,13,3,False,9,4,0
40,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",35,29,True,11,21,3
41,0,File: Airport_Queue_CCTV_Video_Generation.mp4,2,0,False,1,1,0
42,1,File: Eagle_Eye_View_Video_Generated.mp4,2,0,False,0,2,0
43,2,File: 2025-11-27 18-27-45.mp4,33,65,True,10,11,0
44,3,File: 2025-11-27 18-27-23.mp4,13,6,True,5,8,0
45,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",1,0,False,0,1,0
46,0,File: Airport_Queue_CCTV_Video_Generation.mp4,26,20,True,16,10,0
47,1,File: Eagle_Eye_View_Video_Generated.mp4,25,16,True,12,13,0
48,2,File: 2025-11-27 18-27-45.mp4,32,74,True,9,11,0
49,3,File: 2025-11-27 18-27-23.mp4,19,12,True,10,9,0
50,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",31,20,True,14,17,0
51,0,File: Airport_Queue_CCTV_Video_Generation.mp4,25,17,True,14,11,0
52,1,File: Eagle_Eye_View_Video_Generated.mp4,25,15,True,12,13,0
53,2,File: 2025-11-27 18-27-45.mp4,32,76,True,8,16,0
54,3,File: 2025-11-27 18-27-23.mp4,10,3,False,3,7,0
55,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",34,33,True,17,17,0
56,0,File: Airport_Queue_CCTV_Video_Generation.mp4,27,18,True,15,12,0
57,1,File: Eagle_Eye_View_Video_Generated.mp4,28,18,True,12,16,0
58,2,File: 2025-11-27 18-27-45.mp4,27,48,True,8,12,0
59,3,File: 2025-11-27 18-27-23.mp4,12,5,True,5,7,0
60,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",38,37,True,20,17,1
61,0,File: Airport_Queue_CCTV_Video_Generation.mp4,28,23,True,16,12,0
62,1,File: Eagle_Eye_View_Video_Generated.mp4,28,19,True,14,14,0
63,2,File: 2025-11-27 18-27-45.mp4,24,33,True,9,10,0
64,3,File: 2025-11-27 18-27-23.mp4,11,4,False,3,8,0
65,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",37,31,True,18,19,1
66,0,File: Airport_Queue_CCTV_Video_Generation.mp4,26,17,True,15,11,0
67,1,File: Eagle_Eye_View_Video_Generated.mp4,1,0,False,0,1,0
68,2,File: 2025-11-27 18-27-45.mp4,29,63,True,9,11,0
69,3,File: 2025-11-27 18-27-23.mp4,6,1,False,2,4,0
70,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",30,24,True,16,13,1
71,0,File: Airport_Queue_CCTV_Video_Generation.mp4,28,20,True,17,11,0
72,1,File: Eagle_Eye_View_Video_Generated.mp4,30,22,True,15,14,1
73,2,File: 2025-11-27 18-27-45.mp4,22,28,True,9,9,0
74,3,File: 2025-11-27 18-27-23.mp4,10,4,False,2,8,0
75,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",35,39,True,19,16,0
76,0,File: Airport_Queue_CCTV_Video_Generation.mp4,27,22,True,16,11,0
77,1,File: Eagle_Eye_View_Video_Generated.mp4,1,0,False,0,1,0
78,2,File: 2025-11-27 18-27-45.mp4,29,63,True,11,13,0
79,3,File: 2025-11-27 18-27-23.mp4,8,1,False,3,5,0
80,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",39,53,True,22,16,1
81,0,File: Airport_Queue_CCTV_Video_Generation.mp4,28,22,True,18,10,0
82,1,File: Eagle_Eye_View_Video_Generated.mp4,2,0,False,0,2,0
83,2,File: 2025-11-27 18-27-45.mp4,26,43,True,10,11,0
84,3,File: 2025-11-27 18-27-23.mp4,8,1,False,3,5,0
85,4,"File: CCTV ! Mall Camera ! CCTV Footage - OCC (720p, h264).mp4",36,41,True,19,16,1
86,0,File: Airport_Queue_CCTV_Video_Generation.mp4,26,21,True,16,10,0
87,1,File: Eagle_Eye_View_Video_Generated.mp4,27,21,True,14,13,0
88,2,File: 2025-11-27 18-27-45.mp4,27,40,True,11,11,0
